"label","last_mesure","sang_ok"
"8185990","12/05/2025","non"
"8189032","03/05/2019","oui"
"8189041","17/06/2020","oui"
"8189042","06/05/2019","oui"
"8189043","09/05/2018","oui"
"8189054","09/05/2018","oui"
"8189055","09/05/2018","oui"
"8189056","10/05/2018","oui"
"8189057","10/05/2018","oui"
"8189058","10/05/2018","oui"
"8189059","20/04/2021","non"
"8189060","11/05/2018","oui"
"8189061","11/05/2018","oui"
"8189062","07/05/2019","oui"
"8189063","11/05/2018","oui"
"8189064","03/05/2019","oui"
"8189065","11/05/2018","oui"
"8189066","05/05/2020","oui"
"8189067","11/05/2018","oui"
"8189068","05/05/2020","oui"
"8189069","11/05/2018","oui"
"8189070","18/05/2020","oui"
"8189071","20/06/2019","oui"
"8189088","14/06/2020","oui"
"8189089","16/05/2019","oui"
"8189090","16/05/2019","oui"
"8189091","27/06/2022","oui"
"8189092","16/05/2019","oui"
"8189098","02/04/2020","oui"
"8189099","12/05/2020","oui"
"8189100","20/05/2019","oui"
"8189108","15/05/2017","oui"
"8189109","15/05/2017","oui"
"8189135","05/05/2019","oui"
"8189136","17/05/2017","oui"
"8189137","12/05/2018","oui"
"8189162","02/05/2019","oui"
"8189167","26/05/2017","oui"
"8189168","26/05/2017","oui"
"8189183","02/07/2018","oui"
"8189196","24/05/2018","non"
"8189516","09/07/2018","non"
"8189533","22/05/2018","non"
"8189538","03/07/2018","oui"
"8189556","06/07/2018","oui"
"8189569","18/05/2022","oui"
"8189584","09/05/2019","non"
"8189587","30/04/2020","non"
"8189588","07/05/2019","oui"
"8189592","07/05/2021","oui"
"8189594","13/05/2019","oui"
"8189595","06/05/2019","oui"
"8189596","20/06/2019","oui"
"8189602","18/05/2021","oui"
"8189611","11/05/2019","oui"
"8189613","13/05/2022","oui"
"8189632","07/07/2020","non"
"8189633","22/05/2022","oui"
"8189650","02/05/2024","non"
"8189663","11/05/2019","oui"
"8189688","09/05/2020","oui"
"8189693","14/05/2019","oui"
"8189697","03/05/2021","oui"
"8189698","04/05/2024","oui"
"8189701","14/06/2017","oui"
"8189702","16/05/2018","oui"
"8189703","17/05/2018","oui"
"8189704","04/05/2023","non"
"8189705","01/05/2020","non"
"8189706","23/05/2018","oui"
"8189707","23/05/2018","oui"
"8189708","26/05/2018","oui"
"8189715","21/06/2021","non"
"8189739","09/05/2019","oui"
"8189740","09/05/2019","oui"
"8189862","12/12/2019","non"
"8189863","12/12/2019","non"
