"label","last_mesure","sang_ok"
"10173727","08/06/2025","oui"
"10173728","11/06/2025","non"
"10173729","11/06/2025","non"
"10173730","11/06/2025","non"
"10173731","11/06/2025","non"
"10173732","11/06/2025","non"
"10173733","11/06/2025","non"
"10173734","11/06/2025","non"
"10173735","11/06/2025","non"
"10173736","11/06/2025","non"
"10173737","11/06/2025","non"
"10173738","11/06/2025","non"
"10173739","11/06/2025","non"
"10173740","11/06/2025","non"
"10173741","11/06/2025","non"
"10173742","11/06/2025","non"
"10173743","12/06/2025","non"
"10173744","12/06/2025","non"
"10173745","12/06/2025","non"
"10173746","12/06/2025","non"
"10173747","12/06/2025","non"
"10173748","12/06/2025","non"
"10173749","12/06/2025","non"
"10173750","13/06/2025","oui"
"10173751","14/06/2025","non"
"10173752","14/06/2025","non"
"10173753","14/06/2025","non"
"10173754","18/06/2025","oui"
"10173755","18/06/2025","non"
"10173756","18/06/2025","non"
"10173757","18/06/2025","non"
"10173758","18/06/2025","non"
"10173759","18/06/2025","non"
"10173760","18/06/2025","non"
"10173761","18/06/2025","non"
"10173762","18/06/2025","non"
"10173763","18/06/2025","non"
"10173764","18/06/2025","non"
"10173765","19/06/2025","non"
"10173766","19/06/2025","non"
"10173767","19/06/2025","non"
"10173768","19/06/2025","non"
"10173901","03/06/2025","non"
"10173902","03/06/2025","non"
"10173903","03/06/2025","non"
"10173904","03/06/2025","non"
"10173905","04/06/2025","non"
"10173906","04/06/2025","non"
"10173907","04/06/2025","non"
"10173908","04/06/2025","non"
"10173909","04/06/2025","non"
"10173910","04/06/2025","non"
"10173911","04/06/2025","non"
"10173912","04/06/2025","non"
"10173913","05/06/2025","non"
"10173914","05/06/2025","non"
"10173915","05/06/2025","non"
"10173916","05/06/2025","non"
"10173917","05/06/2025","non"
"10173918","05/06/2025","non"
"10173919","06/06/2025","non"
"10173920","06/06/2025","non"
"10173921","06/06/2025","non"
"10173922","06/06/2025","non"
"10173923","06/06/2025","non"
"10173924","05/06/2025","non"
"10173925","05/06/2025","non"
"10173926","05/06/2025","non"
"10173927","05/06/2025","non"
"10173928","05/06/2025","non"
"10173929","05/06/2025","non"
"10173930","05/06/2025","non"
"10173931","05/06/2025","non"
"10174000","03/06/2025","non"
"10175101","29/04/2025","non"
"10175102","29/04/2025","non"
