"bague","autre_bague","espece","sexe","age_2025","lieu_bag","nic_naiss","sang_ok","number_captures","nb_of","nb_cog"
"9485537",,"bleue",,2,"fil","fil_6","non",,,
"9485538",,"bleue",,2,"fil","fil_6","non",,,
"9485539",,"bleue",,2,"fil","fil_6","non",,,
"9485540",,"bleue",,2,"fil","fil_6","non",,,
"9485541",,"bleue","M",1,"pir",,"non",2,0,0
"9485542",,"bleue",,2,"pir","pir_96","non",,,
"9485543",,"bleue",,2,"pir","pir_96","non",,,
"9485544",,"bleue",,2,"pir","pir_96","non",,,
"9485545",,"bleue",,2,"pir","pir_96","non",,,
"9485546",,"bleue",,2,"pir","pir_96","non",,,
"9485547",,"bleue",,2,"pir","pir_96","non",,,
"9485548",,"bleue",,2,"pir","pir_96","non",,,
"9485549",,"bleue",,2,"pir","pir_121","non",,,
"9485550",,"bleue",,2,"pir","pir_121","non",,,
"9485551",,"bleue",,2,"pir","pir_121","non",,,
"9485552",,"bleue",,2,"pir","pir_121","non",,,
"9485553",,"bleue",,2,"pir","pir_121","non",,,
"9485554",,"bleue","F",0,"fel",,"oui",1,0,0
"9485555",,"bleue",,2,"ari","ari_16","non",,,
"9485560",,"bleue",,2,"pir","pir_85","non",,,
"9485561",,"bleue",,2,"pir","pir_85","non",,,
"9485562",,"bleue",,2,"pir","pir_85","non",,,
"9485563",,"bleue",,2,"pir","pir_85","non",,,
"9485564",,"bleue",,2,"pir","pir_85","non",,,
"9485565",,"bleue",,2,"pir","pir_85","non",,,
"9485566",,"bleue",,2,"pir","pir_85","non",,,
"9485601",,"bleue",,2,"pir","pir_236","non",,,
"9485602",,"bleue",,2,"pir","pir_236","non",,,
"9485603",,"bleue",,2,"pir","pir_236","non",,,
"9485604",,"bleue",,2,"pir","pir_236","non",,,
"9485605",,"bleue",,2,"pir","pir_236","non",,,
"9485606",,"bleue",,2,"pir","pir_236","non",,,
"9485613",,"bleue",,2,"pir","pir_153","non",,,
"9485614",,"bleue",,2,"pir","pir_153","non",,,
"9485615",,"bleue",,2,"pir","pir_153","non",,,
"9485616",,"bleue",,2,"pir","pir_153","non",,,
"9485617",,"bleue",,2,"pir","pir_153","non",,,
"9485618",,"bleue",,2,"pir","pir_153","non",,,
"9485619",,"bleue",,2,"pir","pir_153","non",,,
"9485620",,"bleue",,2,"pir","pir_120","non",,,
"9485621",,"bleue",,2,"pir","pir_120","non",,,
"9485622",,"bleue",,2,"pir","pir_120","non",,,
"9485623",,"bleue",,2,"pir","pir_120","non",,,
"9485624",,"bleue",,2,"pir","pir_120","non",,,
"9485627",,"bleue",,2,"pir","pir_120","non",,,
"9485628",,"bleue",,2,"pir","pir_120","non",,,
"9485629",,"bleue",,2,"pir","pir_26","non",,,
"9485630",,"bleue",,2,"pir","pir_26","non",,,
"9485631",,"bleue",,2,"pir","pir_26","non",,,
"9485632",,"bleue",,2,"pir","pir_26","non",,,
"9485633",,"bleue",,2,"pir","pir_26","non",,,
"9485634",,"bleue",,2,"pir","pir_26","non",,,
"9485635",,"bleue",,2,"pir","pir_128","non",,,
"9485636",,"bleue",,2,"pir","pir_128","non",,,
"9485637",,"bleue",,2,"pir","pir_128","non",,,
"9485638",,"bleue",,2,"pir","pir_43","non",,,
"9485639",,"bleue",,2,"pir","pir_43","non",,,
"9485640",,"bleue",,2,"pir","pir_43","non",,,
"9485641",,"bleue",,2,"pir","pir_43","non",,,
"9485642",,"bleue",,2,"pir","pir_43","non",,,
"9485643",,"bleue",,2,"pir","pir_43","non",,,
"9485644",,"bleue",,2,"pir","pir_231","non",,,
"9485645",,"bleue",,2,"pir","pir_231","non",,,
"9485646",,"bleue",,2,"pir","pir_231","non",,,
"9485647",,"bleue",,2,"pir","pir_231","non",,,
"9485648",,"bleue",,2,"pir","pir_231","non",,,
"9485649",,"bleue",,2,"pir","pir_231","non",,,
"9485650",,"bleue",,2,"pir","pir_12","non",,,
"9485651",,"bleue",,2,"pir","pir_12","non",,,
"9485652",,"bleue",,2,"pir","pir_12","non",,,
"9485653",,"bleue",,2,"pir","pir_12","non",,,
"9485654",,"bleue",,2,"pir","pir_12","non",,,
"9485655",,"bleue",,2,"pir","pir_12","non",,,
"9485656",,"bleue",,2,"pir","pir_14","non",,,
"9485657",,"bleue",,2,"pir","pir_14","non",,,
"9485658",,"bleue",,2,"pir","pir_14","non",,,
"9485659",,"bleue",,2,"pir","pir_14","non",,,
"9485660",,"bleue",,2,"pir","pir_14","non",,,
"9485661",,"bleue",,2,"pir","pir_14","non",,,
"9485662",,"bleue",,2,"pir","pir_14","non",,,
"9485663",,"bleue",,2,"pir","pir_14","non",,,
"9485664",,"bleue",,2,"pir","pir_39","non",,,
"9485665",,"bleue",,2,"pir","pir_39","non",,,
"9485666",,"bleue",,2,"pir","pir_39","non",,,
"9485667",,"bleue",,2,"pir","pir_39","non",,,
"9485668",,"bleue",,2,"pir","pir_39","non",,,
"9485669",,"bleue",,2,"pir","pir_39","non",,,
"9485670",,"bleue",,2,"pir","pir_39","non",,,
"9485671",,"bleue",,2,"pir","pir_39","non",,,
"9485672",,"bleue",,2,"pir","pir_39","non",,,
"9485673",,"bleue",,2,"pir","pir_39","non",,,
"9485674",,"bleue",,2,"pir","pir_35","non",,,
"9485675",,"bleue",,2,"pir","pir_35","non",,,
"9485676",,"bleue",,2,"pir","pir_35","non",,,
"9485677",,"bleue",,2,"pir","pir_35","non",,,
"9485678",,"bleue",,2,"pir","pir_35","non",,,
"9485679",,"bleue",,2,"pir","pir_340","non",,,
"9485680",,"bleue",,2,"pir","pir_340","non",,,
"9485681",,"bleue",,2,"pir","pir_340","non",,,
"9485682",,"bleue",,2,"pir","pir_340","non",,,
"9485683",,"bleue",,2,"pir","pir_340","non",,,
"9485684",,"bleue",,2,"pir","pir_340","non",,,
"9485685",,"bleue",,2,"pir","pir_112","non",,,
"9485686",,"bleue",,2,"pir","pir_112","non",,,
"9485687",,"bleue",,2,"pir","pir_112","non",,,
"9485688",,"bleue",,2,"pir","pir_112","non",,,
"9485689",,"bleue",,2,"pir","pir_112","non",,,
"9485690",,"bleue",,2,"pir","pir_112","non",,,
"9485691",,"bleue",,2,"pir","pir_112","non",,,
"9485692",,"bleue",,2,"pir","pir_40","non",,,
"9485693",,"bleue",,2,"pir","pir_40","non",,,
"9485694",,"bleue",,2,"pir","pir_40","non",,,
"9485695",,"bleue",,2,"pir","pir_40","non",,,
"9485696",,"bleue",,2,"mur","mur_162","non",,,
"9485697",,"bleue",,2,"mur","mur_162","non",,,
"9485698",,"bleue",,2,"mur","mur_162","non",,,
"9485699",,"bleue",,2,"mur","mur_162","non",,,
"9485700",,"bleue","M",1,"pir",,"oui",1,0,0
"9485801",,"bleue",,2,"pir","pir_103","non",,,
"9485802",,"bleue",,2,"pir","pir_103","non",,,
"9485803",,"bleue",,2,"pir","pir_103","non",,,
"9485804",,"bleue",,2,"pir","pir_103","non",,,
"9485805",,"bleue",,2,"pir","pir_103","non",,,
"9486008",,"charbo","F",0,"bot",,"oui",2,0,0
"9486009",,"charbo","U",1,"bot",,"oui",2,0,0
"9486010",,"charbo","U",1,"bot",,"oui",2,0,0
"9486011",,"charbo","U",1,"bot",,"oui",2,0,0
"9486012",,"charbo","U",1,"bot",,"oui",2,0,0
"9486013",,"bleue","U",1,"bot",,"oui",1,0,0
"9486014",,"charbo","U",1,"bot",,"oui",2,0,0
"9486022",,"charbo","U",1,"mos",,"oui",2,0,0
"9486023",,"charbo","U",1,"mos",,"oui",2,0,0
"9486024",,"bleue","U",1,"mos",,"oui",1,0,0
"9486025",,"charbo","U",1,"mos",,"oui",2,0,0
"9486026",,"charbo","U",1,"mos",,"oui",1,0,0
"9486027",,"charbo","U",1,"mos",,"oui",2,0,0
"9486101",,"bleue","F",1,"rou",,"oui",1,0,0
"9486102",,"bleue",,2,"rou","rou_271","non",,,
"9486103",,"bleue",,2,"rou","rou_271","non",,,
"9486104",,"bleue",,2,"rou","rou_271","non",,,
"9486105",,"bleue",,2,"rou","rou_271","non",,,
"9486106",,"bleue",,2,"rou","rou_271","non",,,
"9486107",,"bleue",,2,"rou","rou_271","non",,,
"9486108",,"bleue",,2,"rou","rou_271","non",,,
"9486109",,"bleue",,2,"rou","rou_223","non",,,
"9486110",,"bleue",,2,"rou","rou_223","non",,,
"9486111",,"bleue",,2,"rou","rou_223","non",,,
"9486112",,"bleue",,2,"rou","rou_223","non",,,
"9486113",,"bleue",,2,"rou","rou_223","non",,,
"9486114",,"bleue",,2,"rou","rou_223","non",,,
"9486115",,"bleue","F",0,"rou",,"non",1,0,0
"9486116",,"bleue","F",1,"rou",,"oui",2,0,0
"9486117","R55","charbo","F",0,"rou",,"oui",1,1,1
"9486118",,"charbo","M",0,"rou",,"non",1,0,0
"9486119","X76","charbo","F",0,"rou",,"oui",1,1,1
"9486120","G20","charbo","F",1,"rou",,"oui",2,0,0
"9486121","T59","charbo","M",0,"rou",,"non",1,0,0
"9486122","Y97","charbo","M",0,"rou",,"non",1,1,0
"9486123","T34","charbo","F",1,"rou",,"non",1,1,0
"9486124","D48","charbo","F",0,"rou",,"non",1,1,0
"9486125",,"bleue","M",0,"rou",,"oui",1,0,0
"9486126","R38","charbo","M",0,"rou",,"oui",1,1,0
"9486127","D51","charbo","M",0,"rou",,"oui",1,1,0
"9486128","X03","charbo","F",1,"rou",,"oui",1,1,0
"9486129","M97","charbo","M",0,"rou",,"oui",1,1,1
"9486130","R56","charbo","F",1,"rou",,"oui",1,1,1
"9486131","Y38","charbo","F",1,"rou",,"non",1,0,0
"9486132","T77","charbo","M",1,"rou",,"oui",1,0,1
"9486133","U09","charbo","M",1,"rou",,"non",1,1,1
"9486134",,"bleue",,2,"rou","rou_71","non",,,
"9486135",,"bleue",,2,"rou","rou_71","non",,,
"9486136",,"bleue",,2,"rou","rou_71","non",,,
"9486137",,"bleue",,2,"rou","rou_71","non",,,
"9486138",,"bleue",,2,"rou","rou_71","non",,,
"9486139",,"bleue",,2,"rou","rou_71","non",,,
"9486140",,"bleue",,2,"rou","rou_71","non",,,
"9486141","G58","charbo","F",1,"rou",,"oui",1,0,1
"9486142",,"bleue",,2,"rou","rou_243","non",,,
"9486143",,"bleue",,2,"rou","rou_243","non",,,
"9486144",,"bleue",,2,"rou","rou_243","non",,,
"9486145",,"bleue",,2,"rou","rou_243","non",,,
"9486146",,"bleue",,2,"rou","rou_243","non",,,
"9486147",,"bleue",,2,"rou","rou_219","non",,,
"9486148",,"bleue",,2,"rou","rou_219","non",,,
"9486149",,"bleue",,2,"rou","rou_219","non",,,
"9486150",,"bleue",,2,"rou","rou_219","non",,,
"9486151",,"bleue",,2,"rou","rou_219","non",,,
"9486152",,"bleue",,2,"rou","rou_350","non",,,
"9486153",,"bleue",,2,"rou","rou_350","non",,,
"9486154",,"bleue",,2,"rou","rou_350","non",,,
"9486155",,"bleue",,2,"rou","rou_350","non",,,
"9622240",,"charbo","M",1,,,"non",1,1,0
"9733003",,"bleue",,4,"mur","mur_86","non",,,
"9733004",,"bleue",,4,"mur","mur_86","non",,,
"9733005",,"bleue",,4,"mur","mur_86","non",,,
"9733006",,"bleue",,4,"mur","mur_86","non",,,
"9733007",,"bleue",,4,"mur","mur_27","non",,,
"9733008",,"bleue",,4,"mur","mur_27","non",,,
"9733009",,"bleue",,4,"mur","mur_27","non",,,
"9733010",,"bleue",,4,"mur","mur_27","non",,,
"9733011",,"bleue",,4,"mur","mur_27","non",,,
"9733012",,"bleue",,4,"mur","mur_27","non",,,
"9733013",,"bleue",,4,"mur","mur_27","non",,,
"9733014",,"bleue",,4,"mur","mur_88bis","non",,,
"9733015",,"bleue",,4,"mur","mur_88bis","non",,,
"9733016",,"bleue","M",4,"mur","mur_88bis","oui",1,0,0
"9733017",,"bleue",,4,"mur","mur_88bis","non",,,
"9733018",,"bleue",,4,"mur","mur_88bis","non",,,
"9733019",,"bleue",,4,"mur","mur_88bis","non",,,
"9733020",,"bleue",,4,"mur","mur_88bis","non",,,
"9733021",,"bleue",,4,"mur","mur_88bis","non",,,
"9733022",,"bleue",,4,"mur","mur_88bis","non",,,
"9733023",,"bleue","F",4,"mur","mur_88bis","oui",1,0,0
"9733024",,"bleue","F",4,"mur","mur_88bis","oui",1,0,0
"9733025",,"bleue",,4,"mur","mur_28","non",,,
"9733026",,"bleue",,4,"mur","mur_28","non",,,
"9733027",,"bleue",,4,"mur","mur_28","non",,,
"9733028",,"bleue",,4,"mur","mur_28","non",,,
"9733029",,"bleue",,4,"mur","mur_28","non",,,
"9733030",,"bleue",,4,"mur","mur_28","non",,,
"9733031",,"bleue",,4,"mur","mur_28","non",,,
"9733032",,"bleue",,4,"mur","mur_28","non",,,
"9733033",,"bleue","F",2,"mur",,"oui",1,0,0
"9733034",,"bleue",,4,"mur","mur_93","non",,,
"9733035",,"bleue",,4,"mur","mur_93","non",,,
"9733036",,"bleue",,4,"mur","mur_93","non",,,
"9733037",,"bleue",,4,"mur","mur_93","non",,,
